2021-11-02 20:54:25.701 | INFO     | store.services.get_cart:get_check_coupon:103 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:54:27.557 | INFO     | store.services.get_cart:get_check_coupon:103 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:54:29.119 | INFO     | store.services.get_cart:get_check_coupon:103 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:54:30.799 | INFO     | store.services.get_cart:get_check_coupon:103 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:54:35.388 | INFO     | store.services.get_cart:get_check_coupon:103 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:54:37.401 | INFO     | store.services.get_cart:get_check_coupon:103 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:54:46.176 | INFO     | store.services.get_cart:get_check_coupon:103 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:54:49.998 | INFO     | store.services.get_cart:get_check_coupon:103 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:54:56.232 | INFO     | store.services.get_cart:get_check_coupon:103 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:55:00.434 | INFO     | store.services.get_cart:get_check_coupon:103 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:56:18.862 | INFO     | store.services.get_cart:get_check_coupon:104 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:56:20.832 | INFO     | store.services.get_cart:get_check_coupon:104 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:56:32.109 | INFO     | store.services.get_cart:get_check_coupon:103 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
